Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Shopping/btn_manufacturer""))",Chrome 121.0.0.0,,,2024-02-12 09:14:19,2024-02-12 09:14:19,0.396s,PASSED
manufacturer = manufacturer,Chrome 121.0.0.0,,,2024-02-12 09:14:19,2024-02-12 09:14:19,0.001s,PASSED
switch (manufacturer),Chrome 121.0.0.0,,,2024-02-12 09:14:19,2024-02-12 09:14:20,0.892s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_color""))",Chrome 121.0.0.0,,,2024-02-12 09:14:20,2024-02-12 09:14:21,0.593s,PASSED
color = color,Chrome 121.0.0.0,,,2024-02-12 09:14:21,2024-02-12 09:14:21,0.000s,PASSED
switch (color),Chrome 121.0.0.0,,,2024-02-12 09:14:21,2024-02-12 09:14:22,1.160s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/Shopping/filter_search_test,Chrome 121.0.0.0,,,2024-02-12 09:14:22,2024-02-12 09:14:51,28.825s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:14:22,2024-02-12 09:14:32,10.070s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:14:32,2024-02-12 09:14:33,0.407s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:14:33,2024-02-12 09:14:43,10.012s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/img_item_speaker""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:14:43,2024-02-12 09:14:43,0.368s,PASSED
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:14:43,2024-02-12 09:14:43,0.420s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_manufacturer""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:14:43,2024-02-12 09:14:48,4.433s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_manufacturer""))",Chrome 121.0.0.0,,,2024-02-12 09:14:48,2024-02-12 09:14:48,0.412s,PASSED
manufacturer = manufacturer,Chrome 121.0.0.0,,,2024-02-12 09:14:48,2024-02-12 09:14:48,0.000s,PASSED
switch (manufacturer),Chrome 121.0.0.0,,,2024-02-12 09:14:48,2024-02-12 09:14:49,0.898s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_color""))",Chrome 121.0.0.0,,,2024-02-12 09:14:49,2024-02-12 09:14:50,0.475s,PASSED
color = color,Chrome 121.0.0.0,,,2024-02-12 09:14:50,2024-02-12 09:14:50,0.000s,PASSED
switch (color),Chrome 121.0.0.0,,,2024-02-12 09:14:50,2024-02-12 09:14:51,1.236s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/Shopping/filter_search_test,Chrome 121.0.0.0,,,2024-02-12 09:14:51,2024-02-12 09:15:27,36.303s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:14:51,2024-02-12 09:15:07,16.121s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:15:07,2024-02-12 09:15:07,0.458s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:15:07,2024-02-12 09:15:17,10.013s,PASSED
